Codigo,Color
005876,1
005913,1
005886,1
005864,1
005909,1
005898,1
005910,1
005925,1
005912,1
005908,0
005895,1
005865,0
005863,1
005875,1
005877,2
005902,2
005887,2
005873,2
005905,2
005914,2
005892,2
005911,2
005868,2
005880,2
005878,2
005922,2
005917,2
005907,3
005862,3
005891,3
005921,3
005893,3
005871,3
005906,3
005883,0
005881,3
005901,3
005889,3
005890,3
005869,3
005896,3
005923,4
005916,4
005884,4
005919,4
005870,4
005866,4
005920,4
005885,0
005872,4
005899,4
005874,4
005879,4
005900,4
005926,5
005903,5
005897,5
005888,5
005882,5
005928,5
005929,5
005915,5
005924,5
005894,5
005918,5
005927,5
005904,5
